ID;Nombre;ID regra de impuestos;Precio impuestos incluidos;En oferta;Valor del descuento;Porcentaje de descuento;Descuento desde fecha;Descuento hasta fecha;Referencia Nº;Referencia Nº Proveedor;Precio impuestos excluidos;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Plazo de entrega con stock;Plazo de entrega sin stock;Cantidad;Cantidad minima;Nivel de stock bajo;Enviame un correo cuando stock bajo;Visible;Costo adicional de envio;Unidad precio;Precio unitario;Resumen;Descripcion larga;Etiquetas;Meta-titulo;meta-keywords;meta-descripcion;url-reescrita;etiqueta con stock;etiqueta en espera;disponible pedidos;fecha disponible;fecha creacion;mostrar precio;URL's de las imágenes;Texto alternativo;Elimine las imagenes existentes;Caracteristicas;Solo disponible por internet
;Auricular Aiwa aw-b60-bk sistema acustico cerrado/cable p/exteriores/negro;1;27000;;;;;;ELAWB60BK-RT;;;AIWA;7,42833E+11;;;25;7;17;0,74;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWB60BK-RT.jpg;;;Marca:AIWA&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Aiwa aw-b60-w sistema acustico cerrado/cable p/exteriores/blanco;1;27000;;;;;;ELAWB60W-RT;;;AIWA;7,42833E+11;;;25;7;17;0,74;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWB60W-RT.jpg;;;Marca:AIWA&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Aiwa aw-m700-bk acustica cerrada/cable metal p/exteriores/mic/negro;1;45000;;;;;;ELAWM700BK-RT;;;AIWA;7,45008E+12;;;1;1;1;0,05;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWM700BK-RT.jpg;;;Marca:AIWA&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Aiwa aw-m700-s acustica cerrada/cable metal p/exteriores/mic/plata;1;45000;;;;;;ELAWM700S-RT;;;AIWA;;;;1;1;1;0,05;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWM700S-RT.jpg;;;Marca:AIWA&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Aiwa aw-x107r/acustica cerrada/graves potentes/mic/rojo;1;99000;;;;;;ELAWX107R-RT;;;AIWA;7,79818E+12;;;47;201;176;415,67;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWX107R-RT.jpg;;;Marca:AIWA&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Aiwa aw-2-pro-b/bt/control de llamadas/bat de 10hs/azul;1;199000;;;;;;ELAW2PROB-RT;;;AIWA;7,45304E+12;;;7;185;213;68,96;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAW2PROB-RT.jpg;;;Marca:AIWA&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Aiwa aw-4turbo-bk/bt/hi fi/mic/bat de 13hs/negro;1;432000;;;;;;ELAW4TURBOBK-RT;;;AIWA;7,45304E+12;;;42;195;217;444,31;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAW4TURBOBK-RT.jpg;;;Marca:AIWA&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Aiwa aw-4turbo-ch/bt/hi fi/mic/bat de 13hs/champagne;1;432000;;;;;;ELAW4TURBOCH-RT;;;AIWA;7,45304E+12;;;42;195;217;444,31;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAW4TURBOCH-RT.jpg;;;Marca:AIWA&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Aiwa aw-4turbo-r/o/bt/hi fi/mic/bat de 13hs/rosado;1;415000;;;;;;ELAW4TURBORO-RT;;;AIWA;7,45304E+12;;;42;195;217;444,31;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAW4TURBORO-RT.jpg;;;Marca:AIWA&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Aiwa aw-8ncbt-bk bt/mic/reduccion ruido y eco/li-on;1;501000;;;;;;ELAW8NCBTBK-RT;;;AIWA;7,45008E+12;;;56;265;195;723,45;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAW8NCBTBK-RT.jpg;;;Marca:AIWA&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Aiwa aw-810bt-bk bt/intrauditivos/mic/play 4hs/negro;1;151000;;;;;;ELAW810BTBK-RT;;;AIWA;7,45008E+12;;;35;10;17;1,49;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAW810BTBK-RT.jpg;;;Marca:AIWA&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Aiwa aw-810bt-w bt/intrauditivos/mic/play 4hs/blanco;1;151000;;;;;;ELAW810BTW-RT;;;AIWA;7,45008E+12;;;35;10;17;1,49;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAW810BTW-RT.jpg;;;Marca:AIWA&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Aiwa aw-902-bk sport in/ear bt c/mic play 8hs negro;1;202000;;;;;;ELAW902BK-RT;;;AIWA;7,45008E+12;;;44;8;10;0,88;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAW902BK-RT.jpg;;;Marca:AIWA&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Aiwa aw-902-r sport in/ear bt c/mic play 8hs rojo;1;202000;;;;;;ELAW902R-RT;;;AIWA;7,45008E+12;;;44;8;10;0,88;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAW902R-RT.jpg;;;Marca:AIWA&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Aiwa aw-980-bk sport in/ear bt c/mic play 6hs negro;1;199000;;;;;;ELAW980BK-RT;;;AIWA;7,45008E+12;;;35;197;15;25,86;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAW980BK-RT.jpg;;;Marca:AIWA&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Philips shb4000/bt/control de llamadas/bat de 9hs/negro;1;188000;;;;;;ELPHB4000;;;PHILIPS;6,92341E+12;;;65;225;195;712,97;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELPHB4000.jpg;;;Marca:PHILIPS&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Philips shb4000wt/bt/control de llamadas/bat de 9hs/blanco;1;188000;;;;;;ELPHB4000WT;;;PHILIPS;6,92341E+12;;;65;225;195;712,97;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELPHB4000WT.jpg;;;Marca:PHILIPS&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Philips shb7250wt/bt/nfc/conexión/multiple/bat 11hs/blanco;1;372000;;;;;;ELPHB7250WT;;;PHILIPS;6,92597E+12;;;9;203;198;90,44;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELPHB7250WT.jpg;;;Marca:PHILIPS&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Philips she3010gn/acustica abierta/estructura blanda/verde;1;34000;;;;;;ELPHE3010GN;;;PHILIPS;6,92341E+12;;;3;173;51;6,62;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELPHE3010GN.jpg;;;Marca:PHILIPS&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Philips she3010pp/acustica abierta/estructura blanda/lila;1;34000;;;;;;ELPHE3010PP;;;PHILIPS;6,92341E+12;;;3;173;51;6,62;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELPHE3010PP.jpg;;;Marca:PHILIPS&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Philips she3590bk/intrauditivos/graves potentes/negro;1;56000;;;;;;ELPHE3590BK;;;PHILIPS;6,92341E+12;;;3;173;51;6,62;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELPHE3590BK.jpg;;;Marca:PHILIPS&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Philips she3590bl/intrauditivos/graves potentes/azul;1;52000;;;;;;ELPHE3590BL;;;PHILIPS;6,92341E+12;;;3;173;51;6,62;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELPHE3590BL.jpg;;;Marca:PHILIPS&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Philips she3590lb sistema acustico cerrado/cable p/exteriores de 1.2m/;1;50000;;;;;;ELPH3590LB;;;PHILIPS;6,92341E+12;;;3;173;51;6,62;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELPH3590LB.jpg;;;Marca:PHILIPS&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Philips she3590pp sistema acustico cerrado/cable p/exteriores de 1.2m/;1;25000;;;;;;ELPH3590PP;;;PHILIPS;6,92341E+12;;;3;173;51;6,62;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELPH3590PP.jpg;;;Marca:PHILIPS&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Philips she3590wt/intrauditivos/graves potentes/blanco;1;52000;;;;;;ELPHE3590WT;;;PHILIPS;6,92341E+12;;;3;173;51;6,62;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELPHE3590WT.jpg;;;Marca:PHILIPS&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Philips she3595wt/intrauditivos/graves potentes/mic/blanco;1;69000;;;;;;ELPHE3595WT;;;PHILIPS;6,92341E+12;;;3;172;95;12,26;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELPHE3595WT.jpg;;;Marca:PHILIPS&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
