ID;Nombre;ID regra de impuestos;Precio impuestos incluidos;En oferta;Valor del descuento;Porcentaje de descuento;Descuento desde fecha;Descuento hasta fecha;Referencia Nº;Referencia Nº Proveedor;Precio impuestos excluidos;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Plazo de entrega con stock;Plazo de entrega sin stock;Cantidad;Cantidad minima;Nivel de stock bajo;Enviame un correo cuando stock bajo;Visible;Costo adicional de envio;Unidad precio;Precio unitario;Resumen;Descripcion larga;Etiquetas;Meta-titulo;meta-keywords;meta-descripcion;url-reescrita;etiqueta con stock;etiqueta en espera;disponible pedidos;fecha disponible;fecha creacion;mostrar precio;URL's de las imágenes;Texto alternativo;Elimine las imagenes existentes;Caracteristicas;Solo disponible por internet
;Bordeadora Ducati dgt2600;1;860000;;;;;;GFDUDGT2600;;;DUCATI;8,43469E+12;;;29;20;184;26,68;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUDGT2600.jpg;;;Marca:DUCATI&Producto:CUIDADO Y LIMPIEZA&Segmento:CAMPO Y JARDIN&Vendedor:Sara Comercial;
;Cable carga micro usb Aiwa aw-p17121-bk negro;1;25000;;;;;;ELAWP17121BK-RT;;;AIWA;7,45008E+12;;;75;18;2;0,68;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWP17121BK-RT.jpg;;;Marca:AIWA&Producto:CABLES CARGADORES&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Cable carga usb Aiwa aw-p17151-bk tipo c negro a/m;1;35000;;;;;;ELAWP17151BK-RT;;;AIWA;7,45008E+12;;;75;18;2;0,68;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWP17151BK-RT.jpg;;;Marca:AIWA&Producto:CABLES CARGADORES&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Cable carga usb Aiwa aw-p17151-r tipo c rojo a/m;1;33000;;;;;;ELAWP17151R-RT;;;AIWA;7,45008E+12;;;75;18;2;0,68;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWP17151R-RT.jpg;;;Marca:AIWA&Producto:CABLES CARGADORES&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Cable carga usb Aiwa aw-p17221-bk tipo c negro 1.5 mts;1;27000;;;;;;ELAWP17221BK-RT;;;AIWA;7,45008E+12;;;75;18;2;0,68;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWP17221BK-RT.jpg;;;Marca:AIWA&Producto:CABLES CARGADORES&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Cafetera b+d cm1105b-cl dig jar vid filt p/goteo 1/5l ind agua 1000w220v;1;196000;;;;;;EDBCCM1105BCL-RT;;;BLACK & DECKER;50875817807;;;2311;279;342;55127,75;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDBCCM1105BCL-RT.jpg;;;Marca:BLACK & DECKER&Producto:CAFETERAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Cable carga usb Aiwa aw-p18070-w iphone/ipad/ipod pvc blanco;1;67000;;;;;;ELAWP18070W-RT;;;AIWA;7,45008E+12;;;75;18;22;7,43;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWP18070W-RT.jpg;;;Marca:AIWA&Producto:CABLES CARGADORES&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Cargador de auto Aiwa aw-p2122cb-bk negro;1;74000;;;;;;ELAWP2122CB-RT;;;AIWA;7,45008E+12;;;48;14;12;2,02;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWP2122CB-RT.jpg;;;Marca:AIWA&Producto:CARGADOR ELECTRICO&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Cargador de auto Aiwa aw-p2124-bk negro;1;65000;;;;;;ELAWP2124B-RT;;;AIWA;7,45008E+12;;;45;14;12;1,89;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWP2124B-RT.jpg;;;Marca:AIWA&Producto:CARGADOR ELECTRICO&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Cargador portatil Aiwa aw-pbf110 celda litio 10000mah usbx2;1;126000;;;;;;ELAWPBF110-RT;;;AIWA;;;;325;14;18;20,48;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWPBF110-RT.jpg;;;Marca:AIWA&Producto:CARGADOR ELECTRICO&Segmento:ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Cargador portatil Aiwa aw-pbf168w celda litio inalambrico 10000mah usbx2;1;184000;;;;;;ELAWPBF168W-RT;;;AIWA;;;;14;32;18;2,02;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWPBF168W-RT.jpg;;;Marca:AIWA&Producto:CARGADOR ELECTRICO&Segmento:ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Cargador de pared Aiwa aw-p2223-w 2 puertos usb blanco;1;72000;;;;;;ELAWP2223W-RT;;;AIWA;7,45008E+12;;;47;14;12;1,97;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWP2223W-RT.jpg;;;Marca:AIWA&Producto:CARGADOR ELECTRICO&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Cargador portatil Aiwa aw-pbf200 celda litio 20000mah usbx2;1;185000;;;;;;ELAWPBF200-RT;;;AIWA;7,45008E+12;;;325;19;14;21,61;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWPBF200-RT.jpg;;;Marca:AIWA&Producto:CARGADOR ELECTRICO&Segmento:ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Centro de lavado Mabe electrico 15 kgs blanco;1;6541000;;;;;;EDMCL1540EEBBY0;;;MABE;7,57639E+11;;;68;192;783;2555,71;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDMCL1540EEBBY0.jpg;;;Marca:MABE&Producto:CUIDADO DE LA ROPA&Segmento:LAVADO/SECADO&Vendedor:Sara Comercial;
;Cortabarba Philips bt3216/14 cuchillas inox 60m/1h 20 pos 1 acc 240v;1;384000;;;;;;EDPCPBT321614-RT;;;PHILIPS;8,7101E+12;;;14;224;7;5,49;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPBT321614-RT.jpg;;;Marca:PHILIPS&Producto:CORTAPELOS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Cortabarba Philips bt5502/15 cuchillas inox 40 posiciones bat 220v;1;465000;;;;;;EDPCBT550215-RT;;;PHILIPS;8,7101E+12;;;14;224;7;5,49;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCBT550215-RT.jpg;;;Marca:PHILIPS&Producto:CORTAPELOS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Cepillo alisador Philips bhh880/00 ceramica turmalina 170 y 200°c;1;458000;;;;;;EDPCPBHH88000-RT;;;PHILIPS;8,7101E+12;;;355;121;55;590,63;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPBHH88000-RT.jpg;;;Marca:PHILIPS&Producto:ALISADORES&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Cortabarba Philips bt7201/15 sistema de aspiracion cuchilla inox bat 220v;1;610000;;;;;;EDPCBT720115-RT;;;PHILIPS;8,7101E+12;;;14;245;7;6;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCBT720115-RT.jpg;;;Marca:PHILIPS&Producto:CORTAPELOS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Cortacesped Ducati a transmision dlm5300 530;1;2450000;;;;;;GFDUCTDLM32530;;;DUCATI;8,43469E+12;;;57;48;93;96;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUCTDLM32530.jpg;;;Marca:DUCATI&Producto:CUIDADO Y LIMPIEZA&Segmento:CAMPO Y JARDIN&Vendedor:Sara Comercial;
;Cortacesped Ducati dlm5100t;1;1478000;;;;;;GFDUCDLM5100T;;;DUCATI;8,43548E+12;;;56;37;73;37,81;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUCDLM5100T.jpg;;;Marca:DUCATI&Producto:CUIDADO Y LIMPIEZA&Segmento:CAMPO Y JARDIN&Vendedor:Sara Comercial;
;Cortapelo facial Philips nt3160/10 lavable 3 posiciones 2 acc funda pila aa;1;151000;;;;;;EDPCNT316010-RT;;;PHILIPS;8,7101E+12;;;10;21;41;2,15;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCNT316010-RT.jpg;;;Marca:PHILIPS&Producto:CORTAPELOS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Cuchilla de recambio oneblade mod qp220 pack de 2;1;222000;;;;;;QP2521001;;;PHILIPS;8,7101E+12;;;10;11;22;0,61;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/QP2521/001.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Depiladora Philips bre255/00 opti-light 3 acc piernas 2vl cable 220v;1;439000;;;;;;EDPCBRE25500-RT;;;PHILIPS;8,7101E+12;;;178;185;6;49,4;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCBRE25500-RT.jpg;;;Marca:PHILIPS&Producto:DEPILADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Cuchilla reemplazable oneblade mod qp210 pack de 1;1;136000;;;;;;QP2510001;;;PHILIPS;8,7101E+12;;;10;11;22;0,61;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/QP2510/001.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Depiladora Philips bre605/00 sistema de pinzas ceramic 40m/1h carga 2 vel 15v;1;612000;;;;;;EDPCPDBRE60500-RT;;;PHILIPS;8,7101E+12;;;156;20;278;216,84;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPDBRE60500-RT.jpg;;;Marca:PHILIPS&Producto:DEPILADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Depiladora Philips bre620/00 sistema de pinzas 40m/1h carga 2 vel 3 acc 15v;1;678000;;;;;;EDPCPDBRE62000-RT;;;PHILIPS;8,7101E+12;;;148;185;65;444,93;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPDBRE62000-RT.jpg;;;Marca:PHILIPS&Producto:DEPILADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Depiladora Philips bre285/00 opti-light 7 acc piernas 2vl cable 220v;1;597000;;;;;;EDPCBRE28500-RT;;;PHILIPS;8,7101E+12;;;178;185;6;49,4;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCBRE28500-RT.jpg;;;Marca:PHILIPS&Producto:DEPILADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Depiladora Philips bre632/00 p/todo cuerpo 5 acc discos ceramicos 2vl 220v;1;850000;;;;;;EDPCBRE63200-RT;;;PHILIPS;8,7101E+12;;;148;185;65;444,93;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCBRE63200-RT.jpg;;;Marca:PHILIPS&Producto:DEPILADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Depiladora Philips bri863/00 lumea essential luz pulsada uso c/cable cuerpo 240v;1;2548000;;;;;;EDPCDBRI86300-RT;;;PHILIPS;8,7101E+12;;;24;175;88;92,4;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCDBRI86300-RT.jpg;;;Marca:PHILIPS&Producto:DEPILADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Depiladora Philips bri920/00 lumea advanced luz pulsada 2acc 240v;1;3443000;;;;;;EDPCBRI92000-RT;;;PHILIPS;8,7101E+12;;;266;19;12;15,16;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCBRI92000-RT.jpg;;;Marca:PHILIPS&Producto:DEPILADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Depiladora Philips bri950/00 lumea prestige luz pulsada 2acc 240v;1;3762000;;;;;;EDPCPDBRI95000-RT;;;PHILIPS;8,7101E+12;;;265;19;14;17,62;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPDBRI95000-RT.jpg;;;Marca:PHILIPS&Producto:DEPILADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Depiladora Philips bri922/00 lumea advanced luz pulsada 2acc 240v;1;3676000;;;;;;EDPCDBRI92200-RT;;;PHILIPS;8,7101E+12;;;266;19;12;15,16;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCDBRI92200-RT.jpg;;;Marca:PHILIPS&Producto:DEPILADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Depiladora Philips hp6543/00 kit 3 en 1 sistema pinzas 2v mango ergonomico 13vol;1;258000;;;;;;EDPCPDHP654300-RT;;;PHILIPS;8,7101E+12;;;202;181;6;54,84;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPDHP654300-RT.tif;;;Marca:PHILIPS&Producto:DEPILADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Depiladora Philips sc1997/00 lumea advanced luz pulsada 2acc 240v;1;2693000;;;;;;EDPCPDSC199700-RT;;;PHILIPS;8,7101E+12;;;266;19;12;15,16;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPDSC199700-RT.jpg;;;Marca:PHILIPS&Producto:DEPILADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Desmalezadora Ducati dbc4000 pro;1;2126000;;;;;;GFDUDBC4000PRO;;;DUCATI;;;;30;30;1842;414,45;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUDBC4000PRO.jpg;;;Marca:DUCATI&Producto:CUIDADO Y LIMPIEZA&Segmento:CAMPO Y JARDIN&Vendedor:Sara Comercial;
;Desmalezadora Ducati dbc5200s;1;1488000;;;;;;GFDUDBC5200S;;;DUCATI;8,43548E+12;;;31;30;1865;433,61;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUDBC5200S.jpg;;;Marca:DUCATI&Producto:CUIDADO Y LIMPIEZA&Segmento:CAMPO Y JARDIN&Vendedor:Sara Comercial;
;Generador Ducati dgr3200;1;2207000;;;;;;GFDUDGR3200;;;DUCATI;8,43539E+12;;;50;50;625;390,63;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUDGR3200.jpg;;;Marca:DUCATI&Producto:GENERADORES&Segmento:MAQUINARIAS&Vendedor:Sara Comercial;
;Generador Ducati dgr5500;1;3645000;;;;;;GFDUDGR5500;;;DUCATI;8,43539E+12;;;585;59;725;6255,84;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUDGR5500.jpg;;;Marca:DUCATI&Producto:GENERADORES&Segmento:MAQUINARIAS&Vendedor:Sara Comercial;
;Freidora Philips hd9216/81 s/aceite frie/hornea/tuesta timer temp man 1425w220v;1;1314000;;;;;;EDPFHD921681-RT;;;PHILIPS;8,7101E+12;;;35;378;35;115,76;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPFHD921681-RT.jpg;;;Marca:PHILIPS&Producto:FREIDORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Generador Ducati dgr8000e;1;4658000;;;;;;GFDUDGR8000E;;;DUCATI;8,43548E+12;;;585;59;725;6255,84;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUDGR8000E.jpg;;;Marca:DUCATI&Producto:GENERADORES&Segmento:MAQUINARIAS&Vendedor:Sara Comercial;
;Heladera Mabe hme350bl frio/humedo 350l 2 puertas blanca;1;1944000;;;;;;HEMHME350BL;;;MABE;7,7971E+12;;;585;169;736;18191,16;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/HEMHME350BL.jpg;;;Marca:MABE&Producto:HELADERAS FRIO HUMEDO&Segmento:REFRIGERACION&Vendedor:Sara Comercial;
;Hervidora b+d  mod. ke22591-cl 1.7l 2400w;1;168000;;;;;;EDBDKE22591CL;;;BLACK & DECKER;50875824638;;;1;1;1;0;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDBDKE22591CL.jpg;;;Marca:BLACK & DECKER&Producto:JARRAS ELECTRICAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Hervidora b+d ke21441-cl 1.7l con filtro 2000w 220v;1;105000;;;;;;EDBJKE21441CL-RT;;;BLACK & DECKER;50875821019;;;20;228;14;15,96;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDBJKE21441CL-RT.jpg;;;Marca:BLACK & DECKER&Producto:JARRAS ELECTRICAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Hervidora black&decker ke002w-ar fun mate tem var 1/7l ind niv agua 2000w220v;1;264000;;;;;;EDBDJKE002WAR;;;BLACK & DECKER;50875810525;;;224;17;206;196,11;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDBDJKE002WAR.jpg;;;Marca:BLACK & DECKER&Producto:JARRAS ELECTRICAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Hervidora black&decker ke003s-ar inox dig 1/7l indi niv agua filt 2400w220v;1;371000;;;;;;EDBDJKE003SAR;;;BLACK & DECKER;50875810532;;;247;189;229;2672,6;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDBDJKE003SAR.jpg;;;Marca:BLACK & DECKER&Producto:JARRAS ELECTRICAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Hervidora Philips hd9306/21 1/5l ind niv agua fil p/sarro inox 1800w220v;1;231000;;;;;;EDPHD930621-RT;;;PHILIPS;8,7101E+12;;;187;231;187;2019,46;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHD930621-RT.jpg;;;Marca:PHILIPS&Producto:JARRAS ELECTRICAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Hervidora Philips hd9351/90 1/7l ind niv agua fil p/sarro inox 2200w220v;1;361000;;;;;;EDPJHD935190-RT;;;PHILIPS;8,7101E+12;;;228;252;198;2844,07;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPJHD935190-RT.jpg;;;Marca:PHILIPS&Producto:JARRAS ELECTRICAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Hervidora Philips hd9351/90 1/7l ind niv agua fil p/sarro inox 2200w220v;1;361000;;;;;;EDPJHD935190-RT;;;PHILIPS;8,7101E+12;;;228;252;198;2844,07;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPJHD935190-RT.jpg;;;Marca:PHILIPS&Producto:JARRAS ELECTRICAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Hidrolavadora Ducati dpw1800;1;1012000;;;;;;GFDUHDPW1800;;;DUCATI;8,43539E+12;;;278;69;341;1635,27;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUHDPW1800.jpg;;;Marca:DUCATI&Producto:HIDROLAVADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Horno de conveccion electrico b+d to3210ssd-cl 26l 1500w;1;457000;;;;;;EDBDTO3210SSDCL-RT;;;BLACK & DECKER;50875821040;;;1;1;1;0;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDBDTO3210SSDCL-RT.jpg;;;Marca:BLACK & DECKER&Producto:HORNOS DE MESA&Segmento:COCCION&Vendedor:Sara Comercial;
;Juguera Philips hr1811/70 dep/pulpa 1/5l jar p/zum 500ml 1vel 400w220v;1;495000;;;;;;EDPHEXJHR181170;;;PHILIPS;;;;47;33;232;89,96;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHEXJHR1811/70.jpg;;;Marca:PHILIPS&Producto:JUGUERAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Juguera Philips hr-1854/04 dep p/pulpa 1500ml jarra p/zumo 700ml 2vel 550w 220v;1;590000;;;;;;EDPHEXJHR185404;;;PHILIPS;8,7101E+12;;;376;416;266;10401,66;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHEXJHR185404.jpg;;;Marca:PHILIPS&Producto:JUGUERAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Juguera Philips hr1854/04 dep p/pulpa 1500ml jarra p/zumo 700ml 2vel 550w 220v;1;590000;;;;;;EDPEXJHR185404;;;PHILIPS;8,7101E+12;;;376;416;266;10401,66;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPEXJHR185404.jpg;;;Marca:PHILIPS&Producto:JUGUERAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Juguera Philips hr1855/72 dep/pulpa 2l jar zumo 800ml 1v boca xl 700w220v;1;761000;;;;;;EDPHEXJHR185572;;;PHILIPS;8,7101E+12;;;255;457;255;7429,11;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHEXJHR185572.jpg;;;Marca:PHILIPS&Producto:JUGUERAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Juguera Philips hr-1863/20 dep/pulpa 1/2l jar p/zum 800ml boc 75mm 1vel 700w220v;1;810000;;;;;;EDPEXJHR186320;;;PHILIPS;;;;255;457;255;7429,11;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPEXJHR186320.jpg;;;Marca:PHILIPS&Producto:JUGUERAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Juguera Philips hr1922/20 boca xxl deposito 1l  2v 1000w220v;1;1681000;;;;;;EDPHEXJHR192220-RT;;;PHILIPS;8,7101E+12;;;27;38;14;3,59;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHEXJHR192220-RT.jpg;;;Marca:PHILIPS&Producto:JUGUERAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Kit jardin Ducati dbc3300m;1;1772000;;;;;;GFDUDBC3300M;;;DUCATI;8,43548E+12;;;28;292;113;230,97;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUDBC3300M.jpg;;;Marca:DUCATI&Producto:CUIDADO Y LIMPIEZA&Segmento:CAMPO Y JARDIN&Vendedor:Sara Comercial;
;Lavarropa automatico Mabe lma79115 19kg carga superior blanco;1;3240000;;;;;;EDMLMA79115CBCS;;;MABE;;;;7332;11811;7239;156721186,6;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDMLMA79115CBCS.JPG;;;Marca:MABE&Producto:LAVARROPAS SUPERAUTOMATICO&Segmento:LAVADO/SECADO&Vendedor:Sara Comercial;
;Lavarropa automatico Mabe wma79112 19kg carga superior blanco;1;3038000;;;;;;EDMWMA79112CBCS0;;;MABE;7,57638E+11;;;7332;11811;7239;156721186,6;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDMWMA79112CBCS0.jpg;;;Marca:MABE&Producto:LAVARROPAS SUPERAUTOMATICO&Segmento:LAVADO/SECADO&Vendedor:Sara Comercial;
;Lavarropas automatico Mabe lma8020 8kgs carga superior blanco;1;1620000;;;;;;EDMLMA8020WBCL0-RT;;;MABE;7,57639E+11;;;52;918;50;596,7;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDMLMA8020WBCL0-RT.jpg;;;Marca:MABE&Producto:LAVARROPAS SUPERAUTOMATICO&Segmento:LAVADO/SECADO&Vendedor:Sara Comercial;
;Lavarropas automatico Mabe 20kgs mod lmh70203s carga superior blanco;1;3544000;;;;;;EDMLMH70203SBCS;;;MABE;;;;68;11163;678;128664,74;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDMLMH70203SBCS.jpg;;;Marca:MABE&Producto:LAVARROPAS SUPERAUTOMATICO&Segmento:LAVADO/SECADO&Vendedor:Sara Comercial;
;Lavarropas automatico Mabe 6kgs carga frontal blanco;1;1762000;;;;;;EDMLMC0686XBBY-RT;;;MABE;7,57638E+11;;;64;89;53;75,47;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDMLMC0686XBBY-RT.jpg;;;Marca:MABE&Producto:LAVARROPAS SUPERAUTOMATICO&Segmento:LAVADO/SECADO&Vendedor:Sara Comercial;
;Lavarropas automatico Mabe 8kgs carga frontal blanco;1;2408000;;;;;;EDMLMC0886XBBY-RT;;;MABE;7,57638E+11;;;65;89;65;94,01;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDMLMC0886XBBY-RT.jpg;;;Marca:MABE&Producto:LAVARROPAS SUPERAUTOMATICO&Segmento:LAVADO/SECADO&Vendedor:Sara Comercial;
