ID;Nombre;ID regra de impuestos;Precio impuestos incluidos;En oferta;Valor del descuento;Porcentaje de descuento;Descuento desde fecha;Descuento hasta fecha;Referencia Nº;Referencia Nº Proveedor;Precio impuestos excluidos;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Plazo de entrega con stock;Plazo de entrega sin stock;Cantidad;Cantidad minima;Nivel de stock bajo;Enviame un correo cuando stock bajo;Visible;Costo adicional de envio;Unidad precio;Precio unitario;Resumen;Descripcion larga;Etiquetas;Meta-titulo;meta-keywords;meta-descripcion;url-reescrita;etiqueta con stock;etiqueta en espera;disponible pedidos;fecha disponible;fecha creacion;mostrar precio;URL's de las imágenes;Texto alternativo;Elimine las imagenes existentes;Caracteristicas;Solo disponible por internet;
;Depiladora Philips bre632/00 p/todo cuerpo 5 acc discos ceramicos 2vl 220v;1;850000;;;;;;EDPCBRE63200-RT;;;PHILIPS;8710103829546;;;14,80;18,50;6,50;0,47;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCBRE63200-RT.jpg;;;Marca:PHILIPS&Producto:DEPILADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Depiladora Philips bri863/00 lumea essential luz pulsada uso c/cable cuerpo 240v;1;2548000;;;;;;EDPCDBRI86300-RT;;;PHILIPS;8710103757375;;;24,00;17,50;8,80;0,92;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCDBRI86300-RT.jpg;;;Marca:PHILIPS&Producto:DEPILADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Depiladora Philips bri922/00 lumea advanced luz pulsada 2acc 240v;1;3676000;;;;;;EDPCDBRI92200-RT;;;PHILIPS;8710103871972;;;26,60;19,00;12,00;1,52;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCDBRI92200-RT.jpg;;;Marca:PHILIPS&Producto:DEPILADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Depiladora Philips bri950/00 lumea prestige luz pulsada 2acc 240v;1;3762000;;;;;;EDPCPDBRI95000-RT;;;PHILIPS;8710103779063;;;26,50;19,00;14,00;1,76;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPDBRI95000-RT.jpg;;;Marca:PHILIPS&Producto:DEPILADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Depiladora Philips hp6543/00 kit 3 en 1 sistema pinzas 2v mango ergonomico 13vol;1;258000;;;;;;EDPCPDHP654300-RT;;;PHILIPS;8710103642121;;;20,20;18,10;6,00;0,55;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPDHP654300-RT.tif;;;Marca:PHILIPS&Producto:DEPILADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Depiladora Philips bri920/00 lumea advanced luz pulsada 2acc 240v;1;3443000;;;;;;EDPCBRI92000-RT;;;PHILIPS;8710103884897;;;26,60;19,00;12,00;1,52;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCBRI92000-RT.jpg;;;Marca:PHILIPS&Producto:DEPILADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Depiladora Philips sc1997/00 lumea advanced luz pulsada 2acc 240v;1;2693000;;;;;;EDPCPDSC199700-RT;;;PHILIPS;8710103746980;;;26,60;19,00;12,00;1,52;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPDSC199700-RT.jpg;;;Marca:PHILIPS&Producto:DEPILADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Desmalezadora Ducati dbc4000 pro;1;2126000;;;;;;GFDUDBC4000PRO;;;DUCATI;;;;30,00;30,00;184,20;41,45;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUDBC4000PRO.jpg;;;Marca:DUCATI&Producto:CUIDADO Y LIMPIEZA&Segmento:CAMPO Y JARDIN&Vendedor:Sara Comercial;;
;Enganche adaptador aperos tipo cgs;1;202000;;;;;;GFDU011737CGS;;;DUCATI;;;;0,00;0,00;0,00;0,00;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDU011737CGS.jpg;;;Marca:DUCATI&Producto:PREPARACION DE SUELO&Segmento:CAMPO Y JARDIN&Vendedor:Sara Comercial;;
;Desmalezadora Ducati dbc5200s;1;1488000;;;;;;GFDUDBC5200S;;;DUCATI;8435478265133;;;31,00;30,00;186,50;43,36;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUDBC5200S.jpg;;;Marca:DUCATI&Producto:CUIDADO Y LIMPIEZA&Segmento:CAMPO Y JARDIN&Vendedor:Sara Comercial;;
